Vary Num Preferences

Baseline for Random Distribution

Number Of Preferences (k) , P(Positive), P(Neutral), P(Negative)
1, 0.4232, 0.5752, 0.0016
2, 0.56, 0.43, 0.01
3, 0.6332, 0.3548, 0.012
4, 0.6848, 0.2992, 0.016
5, 0.7232, 0.2628, 0.014
6, 0.7652, 0.21, 0.0248
7, 0.774, 0.1952, 0.0308
8, 0.8104, 0.1504, 0.0392
9, 0.82, 0.132, 0.048
10, 0.8256, 0.1064, 0.068
11, 0.8432, 0.066, 0.0908
12, 0.864, 0.0232, 0.1128



Munkres for Random Distribution

Number Of Preferences (k) , P(Positive), P(Neutral), P(Negative)
1, 0.5972, 0.4028, 0.0
2, 0.7748, 0.2252, 0.0
3, 0.8664, 0.1336, 0.0
4, 0.9172, 0.0828, 0.0
5, 0.9364, 0.0636, 0.0
6, 0.9556, 0.0444, 0.0
7, 0.974, 0.026, 0.0
8, 0.9804, 0.0196, 0.0
9, 0.9868, 0.0132, 0.0
10, 0.9884, 0.0116, 0.0
11, 0.9932, 0.0068, 0.0
12, 0.9968, 0.0028, 0.0004



Vary Num Projects

Baseline for Random Distribution

Number Of Projects (N + m), P(Positive), P(Neutral), P(Negative)
25, 0.7272, 0.2584, 0.0144
26, 0.7672, 0.2276, 0.0052
27, 0.7696, 0.228, 0.0024
28, 0.8024, 0.1976, 0.0
29, 0.808, 0.192, 0.0
30, 0.8436, 0.1564, 0.0
31, 0.8496, 0.1504, 0.0
32, 0.8684, 0.1316, 0.0
33, 0.8788, 0.1212, 0.0
34, 0.8972, 0.1028, 0.0
35, 0.8988, 0.1012, 0.0
36, 0.9148, 0.0852, 0.0
37, 0.9236, 0.0764, 0.0
38, 0.9416, 0.0584, 0.0
39, 0.9404, 0.0596, 0.0
40, 0.9404, 0.0596, 0.0
41, 0.9476, 0.0524, 0.0
42, 0.948, 0.052, 0.0
43, 0.9508, 0.0492, 0.0
44, 0.964, 0.036, 0.0
45, 0.9664, 0.0336, 0.0
46, 0.9684, 0.0316, 0.0
47, 0.9648, 0.0352, 0.0
48, 0.974, 0.026, 0.0
49, 0.972, 0.028, 0.0



Munkres for Random Distribution

Number Of Projects (N + m), P(Positive), P(Neutral), P(Negative)
25, 0.9404, 0.0596, 0.0
26, 0.9792, 0.0208, 0.0
27, 0.986, 0.014, 0.0
28, 0.9984, 0.0016, 0.0
29, 0.9976, 0.0024, 0.0
30, 1.0, 0.0, 0.0
31, 0.9996, 0.0004, 0.0
32, 1.0, 0.0, 0.0
33, 1.0, 0.0, 0.0
34, 1.0, 0.0, 0.0
35, 1.0, 0.0, 0.0
36, 1.0, 0.0, 0.0
37, 1.0, 0.0, 0.0
38, 1.0, 0.0, 0.0
39, 1.0, 0.0, 0.0
40, 1.0, 0.0, 0.0
41, 1.0, 0.0, 0.0
42, 1.0, 0.0, 0.0
43, 1.0, 0.0, 0.0
44, 1.0, 0.0, 0.0
45, 1.0, 0.0, 0.0
46, 1.0, 0.0, 0.0
47, 1.0, 0.0, 0.0
48, 1.0, 0.0, 0.0
49, 1.0, 0.0, 0.0
